date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:54	172/172	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jun%202025%2009:47:53%20GMT	https://franck-verardi-hypnotherapeute.fr/robots.txt		(from )
11:47:54	33295/33295	---MCZ	200	added ('OK')	text/html	etag:W/%22820f-61d2000e6929c%22	https://franck-verardi-hypnotherapeute.fr/	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/index.html	(from )
11:47:55	13493/13493	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2017%20Jun%202025%2009:47:54%20GMT	https://kit.fontawesome.com/16cf00563b.js	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/kit.fontawesome.com/16cf00563b.js	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:55	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:55	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jun%202025%2009:47:55%20GMT	https://franck-verardi-hypnotherapeute.fr/style.css	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/style.css	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:56	13162/13162	---M--	200	added ('OK')	text/css	etag:%22336a-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/css/style.css	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/css/style.css	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:56	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/imagesc.ico	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/imagesc.ico	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:56	6789/6789	---MCZ	200	added ('OK')	text/html	etag:W/%221a85-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/contact/index.html	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/contact/index.html	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:56	48460/48460	---M--	200	added ('OK')	image/jpeg	etag:%22bd4c-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno11c.jpg	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno11c.jpg	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:57	14303/14303	---M--	200	added ('OK')	image/jpeg	etag:%2237df-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno12c.jpg	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno12c.jpg	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:57	48783/48783	---M--	200	added ('OK')	image/jpeg	etag:%22be8f-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno13c.jpg	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno13c.jpg	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:58	63850/63850	---M--	200	added ('OK')	image/jpeg	etag:%22f96a-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno14c.jpg	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno14c.jpg	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:58	35235/35235	---M--	200	added ('OK')	image/jpeg	etag:%2289a3-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno15c.jpg	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno15c.jpg	(from https://franck-verardi-hypnotherapeute.fr/)
11:47:58	110343/110343	---M--	200	added ('OK')	image/png	etag:%221af07-61d2000e634dc%22	https://franck-verardi-hypnotherapeute.fr/img/hypno16c.png	C:/My%20Web%20Sites/franck-verardi-hypnotherapeute/franck-verardi-hypnotherapeute.fr/img/hypno16c.png	(from https://franck-verardi-hypnotherapeute.fr/)
